time,yaw,pitch,roll
2018-10-14 20:12:34.2990,-42.82,19.03,-9.21
2018-10-14 20:12:34.3890,-43.04,19.3,-10.69
2018-10-14 20:12:34.4840,-39.28,19.58,-13.13
2018-10-14 20:12:34.5750,-36.47,21.05,-18.54
2018-10-14 20:12:34.6640,-36.01,20.9,-17.62
2018-10-14 20:12:34.7540,-35.59,20.57,-18.9
2018-10-14 20:12:34.8440,-35.32,19.12,-22.16
2018-10-14 20:12:34.9390,-32.37,16.82,-22.11
2018-10-14 20:12:35.0290,-31.89,16.75,-21.6
2018-10-14 20:12:35.1200,-35.92,14.3,-23.61
2018-10-14 20:12:35.2090,-37.3,12.99,-21.75
2018-10-14 20:12:35.2990,-33.81,9.89,-23.11
2018-10-14 20:12:35.3950,-30.68,9.55,-18.05
2018-10-14 20:12:35.4840,-32.53,9.19,-16.66
2018-10-14 20:12:35.5750,-33.53,9.17,-14.76
2018-10-14 20:12:35.6640,-34.72,10.2,-14.54
